Company / Artist,Domain,Segment,Location,Fit Score (1-5),Tier,Trigger,Trigger Date,Target Contact Role,LinkedIn URL,Email,Why Now,Evidence URL,Evidence Summary,Research Angle,Verification Status,Verified On,Current Release or Campaign Signal,Release / Campaign Date,Release Verification URL,Decision-Maker,Decision-Maker Role,Decision-Maker Source URL,Verification Notes
Brainfeeder,brainfeeder.net,Independent record label,"Los Angeles, California, USA",4,B,"Bleep's public Brainfeeder catalog lists Button Masher's Super Button Masher and Hakushi Hasegawa's Honest Feeling Album as current 2026 releases.",2026-09-04,Label Manager; Creative Director; Release Marketing Manager,,,"Bleep's public Brainfeeder catalog lists Button Masher's Super Button Masher and Hakushi Hasegawa's Honest Feeling Album as current 2026 releases.",https://bleep.com/label/2190-brainfeeder?lang=en_GB,"Bleep's Brainfeeder label page lists Button Masher's Super Button Masher (BFDNL171), released 2026-09-04, and Hakushi Hasegawa's Honest Feeling Album (BFDNL170), released 2026-08-28.",label-prospects,verified_current_signal,2026-09-04,"Bleep's Brainfeeder catalog lists Button Masher's Super Button Masher (BFDNL171), released 2026-09-04, and Hakushi Hasegawa's Honest Feeling Album (BFDNL170), released 2026-08-28.",2026-09-04,https://bleep.com/release/614389-button-masher-super-button-masher,Adam Stover,Label Manager / Creative Director,https://linkedin.com/in/adam-stover-60862432,"Public distributor catalog and named label role are source-backed. No public email found; use the public source route and do not guess.
Courtney Barnett,courtneybarnett.com.au,independent musician/solo artist,"Los Angeles, US (Australian artist)",4,B,"NPR reported the 2026 return with 'Creature of Habit' on 2026-03-27, and 2026 tour dates were subsequently expanded.",2026-03-27,Courtney Barnett / management / creative director,,,"NPR reported the 2026 return with 'Creature of Habit' on 2026-03-27, and 2026 tour dates were subsequently expanded.",https://www.npr.org/2026/03/27/nx-s1-5761289/courtney-barnett-returns-with-creature-of-habit,"NPR reported the 2026 return with 'Creature of Habit' on 2026-03-27, and 2026 tour dates were subsequently expanded.",artist-prospects,verified_current_signal,2026-09-04,"NPR reported the 2026 return with 'Creature of Habit' on 2026-03-27, and 2026 tour dates were subsequently expanded.",2026-03-27,https://www.npr.org/2026/03/27/nx-s1-5761289/courtney-barnett-returns-with-creature-of-habit,Courtney Barnett,Artist / creative lead,https://courtneybarnett.com.au/,Named artist is public; no separate manager or marketing contact was found. Do not guess an email.
Downtown Music,downtownmusic.com,record label/music company,,4,B,"Downtown's current Artist & Label Services site actively presents distribution, monetization, promotion, and analytics services with a live 'Let's talk' route.",,Head of artist/label services / Creative services director,https://www.linkedin.com/search/results/companies/?keywords=Downtown%20Music,,"Downtown's current Artist & Label Services site actively presents distribution, monetization, promotion, and analytics services with a live 'Let's talk' route.",https://downtownartistandlabelservices.com/,"Downtown's current Artist & Label Services site actively presents distribution, monetization, promotion, and analytics services with a live 'Let's talk' route.",growth-lookalikes,verified_current_service_signal,2026-09-04,"Downtown's current Artist & Label Services site actively presents distribution, monetization, promotion, and analytics services with a live 'Let's talk' route.",,https://downtownartistandlabelservices.com/,,,https://downtownmusic.com/contact/,"Current service pipeline is public, but no named creative, marketing, or artist/label-services contact was identified on the reviewed pages. Do not guess."
Faye Webster,fayewebster.com,independent musician/solo artist,"Atlanta, US",4,B,"The official site lists an active 2026 live/promotional cycle, with current 2026 dates also indexed by JamBase on 2026-08-31; Grandstand maintains a current artist page.",2026-08-31,Faye Webster / artist manager / creative director,,,"The official site lists an active 2026 live/promotional cycle, with current 2026 dates also indexed by JamBase on 2026-08-31; Grandstand maintains a current artist page.",https://www.jambase.com/band/faye-webster,"The official site lists an active 2026 live/promotional cycle, with current 2026 dates also indexed by JamBase on 2026-08-31; Grandstand maintains a current artist page.",artist-prospects,verified_current_signal,2026-09-04,"The official site lists an active 2026 live/promotional cycle, with current 2026 dates also indexed by JamBase on 2026-08-31; Grandstand maintains a current artist page.",2026-08-31,https://www.jambase.com/band/faye-webster,Faye Webster,Artist / creative lead,https://www.fayewebster.com/,Named artist is public; no separate manager or marketing contact was found. Do not guess an email.
Fontaines D.C.,fontainesdc.com,band,"Dublin, Ireland",4,B,"The official 2026 live page lists the autumn European tour beginning 2026-10-21, and the official live page shows new 2026/2027 registration activity.",2026-10-21,Creative Director / Artist Manager,,,"The official 2026 live page lists the autumn European tour beginning 2026-10-21, and the official live page shows new 2026/2027 registration activity.",https://fontainesdc.com/pages/live-2026,"The official 2026 live page lists the autumn European tour beginning 2026-10-21, and the official live page shows new 2026/2027 registration activity.",band-prospects,verified_current_signal,2026-09-04,"The official 2026 live page lists the autumn European tour beginning 2026-10-21, and the official live page shows new 2026/2027 registration activity.",2026-10-21,https://fontainesdc.com/pages/live-2026,Fontaines D.C.,Band / creative lead,https://fontainesdc.com/pages/live,"Current public band route is available; no separate named manager, marketing, or creative contact was found. Do not guess an email."
J.Solo,rapzilla.com,independent musician/solo artist,United States,4,B,"J.Solo's 'Invisible Warfare' single is listed on Apple Music with a 2026-07-17 release date; Rapzilla's 2026-07-16 interview identifies the same Christian hip-hop artist profile.",2026-07-17,J.Solo / artist manager,,,"J.Solo's 'Invisible Warfare' single is listed on Apple Music with a 2026-07-17 release date; Rapzilla's 2026-07-16 interview identifies the same Christian hip-hop artist profile.",https://music.apple.com/us/album/invisible-warfare-single/1893732806,"Apple Music lists J.Solo's 'Invisible Warfare' single as released 2026-07-17; Rapzilla's current interview and embedded artist material identify this as the same J.Solo profile.",artist-prospects,verified_current_signal,2026-09-04,"Apple Music lists J.Solo's 'Invisible Warfare' single as released 2026-07-17, corroborated by Rapzilla's 2026-07-16 interview and current artist material.",2026-07-17,https://music.apple.com/us/album/invisible-warfare-single/1893732806,J.Solo,Artist / creative lead,https://music.youtube.com/@JSolo717,"Current release and artist identity are source-backed; no separate public management or marketing contact was found. Do not guess an email.
Jade Eagleson,bmg.com,solo artist,Canada,4,B,"BMG announced Jade Eagleson's new BBR Music Group/BMG Nashville recording deal on 2026-08-20, and a 2026-08-22 report names Range Media Partners managers Shawn McSpadden and Trey Wilson.",2026-08-22,Artist manager / Label marketing manager / Creative director,https://www.linkedin.com/search/results/people/?keywords=Jade%20Eagleson,,"BMG announced Jade Eagleson's new BBR Music Group/BMG Nashville recording deal on 2026-08-20, and a 2026-08-22 report names Range Media Partners managers Shawn McSpadden and Trey Wilson.",https://bookingagentinfo.com/news/jade-eagleson-signs-with-range-media-partners-for-management/,"BMG announced Jade Eagleson's new BBR Music Group/BMG Nashville recording deal on 2026-08-20, and a 2026-08-22 report names Range Media Partners managers Shawn McSpadden and Trey Wilson.",growth-lookalikes,verified_current_signal,2026-09-04,"BMG announced Jade Eagleson's new BBR Music Group/BMG Nashville recording deal on 2026-08-20, and a 2026-08-22 report names Range Media Partners managers Shawn McSpadden and Trey Wilson.",2026-08-22,https://bookingagentinfo.com/news/jade-eagleson-signs-with-range-media-partners-for-management/,Shawn McSpadden,"Music manager, Range Media Partners",https://bookingagentinfo.com/news/jade-eagleson-signs-with-range-media-partners-for-management/,Public management announcement names the representative; use the source route rather than guessing an email.
MPT Agency (Music Promotion Today),musicpromotoday.com,music marketing/creative agency,,4,B,"MPT's current campaign brief and music-marketing pages actively solicit upcoming release campaigns for artists, managers, and labels and document a current service pipeline.",2026-04-02,Founder / Head of campaigns / Creative director,https://www.linkedin.com/search/results/companies/?keywords=Music%20Promotion%20Today,,"MPT's current campaign brief and music-marketing pages actively solicit upcoming release campaigns for artists, managers, and labels and document a current service pipeline.",https://musicpromotoday.com/contact/,"MPT's current campaign brief and music-marketing pages actively solicit upcoming release campaigns for artists, managers, and labels and document a current service pipeline.",growth-lookalikes,verified_current_service_signal,2026-09-04,"MPT's current campaign brief and music-marketing pages actively solicit upcoming release campaigns for artists, managers, and labels and document a current service pipeline.",2026-04-02,https://musicpromotoday.com/contact/,,,,"Current campaign intake is public, but no named creative or marketing lead was identified on the reviewed public pages. Do not guess."
Mannequin Pussy,mannequinpussy.com,band,"Philadelphia, US",4,B,A 2026-06-23 tour announcement confirms the Mannequin Pussy/Wed­nesday/Snõõper coheadlining run scheduled for late October through mid-November 2026.,2026-06-23,Artist Manager,,,A 2026-06-23 tour announcement confirms the Mannequin Pussy/Wed­nesday/Snõõper coheadlining run scheduled for late October through mid-November 2026.,https://music.mxdwn.com/2026/06/23/news/mannequin-pussy-wednesday-announce-coheadlining-tour-with-snooper/,A 2026-06-23 tour announcement confirms the Mannequin Pussy/Wed­nesday/Snõõper coheadlining run scheduled for late October through mid-November 2026.,band-prospects,verified_current_signal,2026-09-04,A 2026-06-23 tour announcement confirms the Mannequin Pussy/Wed­nesday/Snõõper coheadlining run scheduled for late October through mid-November 2026.,2026-06-23,https://music.mxdwn.com/2026/06/23/news/mannequin-pussy-wednesday-announce-coheadlining-tour-with-snooper/,Eloy,"Publicity representative, Grandstand",https://mannequinpussy.com/pages/contact-us,Official contact page publicly names Eloy for publicity and Will Scott/Shirin Nury for North American booking. Do not guess a fuller name or email.
Now Listen PR,nowlistenpr.com,music marketing/creative agency,UK,4,B,"Now Listen PR's July 2026 pages state it is an active UK music-marketing consultancy with current client intake, seven years of campaigns, and 100M+ combined roster streams.",2026-07-27,Founder / Managing director / Campaign director,https://www.linkedin.com/search/results/companies/?keywords=Now%20Listen%20PR,,"Now Listen PR's July 2026 pages state it is an active UK music-marketing consultancy with current client intake, seven years of campaigns, and 100M+ combined roster streams.",https://nowlistenpr.com/why-now-listen-pr,"Now Listen PR's July 2026 pages state it is an active UK music-marketing consultancy with current client intake, seven years of campaigns, and 100M+ combined roster streams.",growth-lookalikes,verified_current_service_signal,2026-09-04,"Now Listen PR's July 2026 pages state it is an active UK music-marketing consultancy with current client intake, seven years of campaigns, and 100M+ combined roster streams.",2026-07-27,https://nowlistenpr.com/why-now-listen-pr,,,,"Public application route is available, but no named creative or campaign director was identified on the reviewed pages. Do not guess."
Romy (Romy Madley Croft),romyromyromy.com,independent musician/solo artist,"London, UK",4,B,"Public 2026 tour listings show active Romy dates, including September 2026 arena appearances; Booking Agent Info publicly names managers Rebecca Richardson and Hannah Mollet.",2026-09-04,Romy / artist manager / creative director,,,"Public 2026 tour listings show active Romy dates, including September 2026 arena appearances; Booking Agent Info publicly names managers Rebecca Richardson and Hannah Mollet.",https://www.jambase.com/band/romy,"Public 2026 tour listings show active Romy dates, including September 2026 arena appearances; Booking Agent Info publicly names managers Rebecca Richardson and Hannah Mollet.",artist-prospects,verified_current_signal,2026-09-04,"Public 2026 tour listings show active Romy dates, including September 2026 arena appearances; Booking Agent Info publicly names managers Rebecca Richardson and Hannah Mollet.",2026-09-04,https://www.jambase.com/band/romy,Rebecca Richardson,Artist manager,https://bookingagentinfo.com/celebrity/romy/,Public representative listing is source-backed; use the source route rather than guessing an email.
Sandee Facy,sandeefacy.com.au,independent musician/solo artist,Australia,4,B,Official site announced the new single 'Tonight' for release on 2026-08-28 and maintains current news and EPK pages.,2026-08-28,Sandee Facy / artist manager,,,Official site announced the new single 'Tonight' for release on 2026-08-28 and maintains current news and EPK pages.,https://www.sandeefacy.com.au/news/new-single-tonight-out-august-28/,Official site announced the new single 'Tonight' for release on 2026-08-28 and maintains current news and EPK pages.,artist-prospects,verified_current_signal,2026-09-04,Official site announced the new single 'Tonight' for release on 2026-08-28 and maintains current news and EPK pages.,2026-08-28,https://www.sandeefacy.com.au/news/new-single-tonight-out-august-28/,Sandee Facy,Artist / creative lead,https://www.sandeefacy.com.au/sandee-facy-epk,Named artist is public and the official EPK is a public route; no separate manager was found. Do not guess an email.
TMMA (Top Music Marketing Agency),topmusicmarketingagency.com,music marketing / PR agency,,4,B,"TMMA's current 2026 contact and services pages advertise active music-marketing, playlisting, ads, and artist/label campaign services.",2026-06-07,Music Marketing Director / Artist Campaign Manager,,,"TMMA's current 2026 contact and services pages advertise active music-marketing, playlisting, ads, and artist/label campaign services.",https://topmusicmarketingagency.com/services/,"TMMA's current 2026 contact and services pages advertise active music-marketing, playlisting, ads, and artist/label campaign services.",agency-prospects,verified_current_service_signal,2026-09-04,"TMMA's current 2026 contact and services pages advertise active music-marketing, playlisting, ads, and artist/label campaign services.",2026-06-07,https://topmusicmarketingagency.com/services/,,,,"Public service and contact routes are available, but no named marketing or campaign lead was identified. Do not guess."
imoliver,hallwoodmedia.com,solo artist / music project,,4,B,"imOliver's official 2026 press kit identifies Oliver McCann's continuing Hallwood Media relationship, 7.5M+ total streams, and current release/show press route.",2026-07,Project manager / Artist manager / Creative director,https://www.linkedin.com/search/results/people/?keywords=imoliver,,"imOliver's official 2026 press kit identifies Oliver McCann's continuing Hallwood Media relationship, 7.5M+ total streams, and current release/show press route.",https://imoliver.com/press,"imOliver's official 2026 press kit identifies Oliver McCann's continuing Hallwood Media relationship, 7.5M+ total streams, and current release/show press route.",growth-lookalikes,verified_current_signal,2026-09-04,"imOliver's official 2026 press kit identifies Oliver McCann's continuing Hallwood Media relationship, 7.5M+ total streams, and current release/show press route.",2026-07,https://imoliver.com/press,Oliver McCann (imOliver),Artist / creative lead,https://imoliver.com/contact,Official contact form is public and explicitly accepts work and press enquiries; no separate named manager was found.
